INFO [12-20|14:19:09.052] New local node record                    seq=1 id=a3dc6a456a399bc2 ip=<nil> udp=0 tcp=0
TRACE[12-20|14:20:11.966] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:12.230] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:12.230] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:20.999] >> PING/v4                               addr=172.19.0.2:30303   err=nil
DEBUG[12-20|14:20:21.051] Revalidated node                         b=12 id=aca7f1b9a96fa71c
TRACE[12-20|14:20:21.051] << PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:21.807] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:21.807] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:22.206] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:22.206] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:23.000] >> PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:23.000] << PING/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:23.472] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:23.472] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:24.205] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:24.205] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:24.235] >> PING/v4                               addr=172.19.0.3:30303   err=nil
DEBUG[12-20|14:20:24.239] Revalidated node                         b=13 id=bbdea8a60c2c5a6d
TRACE[12-20|14:20:24.239] << PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:25.296] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:25.296] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:25.728] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:25.728] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:26.761] >> PING/v4                               addr=172.19.0.101:30303 err=nil
DEBUG[12-20|14:20:26.769] Revalidated node                         b=16 id=351f7398fade5b04
TRACE[12-20|14:20:26.769] << PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:27.705] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:27.706] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:27.984] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:27.984] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:28.033] >> PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:28.034] << PING/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:28.758] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:28.758] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:29.623] >> PING/v4                               addr=172.19.0.2:30303   err=nil
